date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:26:00	3241/3241	---M-Z	200	added ('OK')	text/css	etag:%22ca9-5e906bd6-5008f1;gz%22	https://www.erensibot.com/css/jquery.fullPage.css	C:/speakturk/ErexisBot/www.erensibot.com/css/jquery.fullPage.css	(from https://www.erensibot.com/css/style.css)
02:26:00	4753/4753	---M-Z	200	added ('OK')	text/css	etag:%221291-5e906bd6-5008f5;gz%22	https://www.erensibot.com/css/featherlight.css	C:/speakturk/ErexisBot/www.erensibot.com/css/featherlight.css	(from https://www.erensibot.com/css/style.css)
02:26:01	3165/3165	---M-Z	200	added ('OK')	text/css	etag:%22c5d-5e906bd6-5008eb;gz%22	https://www.erensibot.com/css/featherlight.gallery.css	C:/speakturk/ErexisBot/www.erensibot.com/css/featherlight.gallery.css	(from https://www.erensibot.com/css/style.css)
02:26:01	36002/36002	---M--	200	added ('OK')	image/jpeg	etag:%228ca2-5e906bf7-5008c9;;;%22	https://www.erensibot.com/img/background-newsletter.jpg	C:/speakturk/ErexisBot/www.erensibot.com/img/background-newsletter.jpg	(from https://www.erensibot.com/css/style.css)
02:26:02	105760/105760	---M--	200	added ('OK')	image/jpeg	etag:%2219d20-5e906bf8-5008c6;;;%22	https://www.erensibot.com/img/constellation.jpg	C:/speakturk/ErexisBot/www.erensibot.com/img/constellation.jpg	(from https://www.erensibot.com/css/style.css)
02:26:02	1236/1236	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20May%202020%2022:25:46%20GMT	https://www.erensibot.com/popper.js	C:/speakturk/ErexisBot/www.erensibot.com/popper.js	(from https://www.erensibot.com/js/bootstrap.min.js)
02:26:03	0/0	---M--	200	added ('OK')	text/html	date:Fri,%2029%20May%202020%2022:25:47%20GMT	https://www.erensibot.com/php/contact-me.php	C:/speakturk/ErexisBot/www.erensibot.com/php/contact-me.php	(from https://www.erensibot.com/js/contact-me.js)
02:26:06	99704/99704	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2218578-5e906cd0-500861;;;%22	https://www.erensibot.com/webfonts/fa-brands-400.eot	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-brands-400.eot	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:06	55144/55144	---M--	200	added ('OK')	font/woff2	etag:%22d768-5e906cd2-500864;;;%22	https://www.erensibot.com/webfonts/fa-brands-400.woff2	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-brands-400.woff2	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:06	99704/99704	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2218578-5e906cd0-500861;;;%22	https://www.erensibot.com/webfonts/fa-brands-400.eot?	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-brands-400d41d.eot	(from https://www.erensibot.com/css/fontawesome-all.min.css)
